team,R16,QF,SF,Final,Champion
Brazil,0.94561,0.74125,0.55592,0.37813,0.27506
Argentina,0.95517,0.72716,0.54593,0.32909,0.22479
Netherlands,0.85603,0.61495,0.31071,0.15403,0.07881
Spain,0.79875,0.52272,0.26033,0.14527,0.07524
Belgium,0.77129,0.44344,0.224,0.12439,0.05368
France,0.78295,0.42838,0.26372,0.12736,0.05143
Portugal,0.81312,0.40486,0.22341,0.12074,0.05076
Denmark,0.7293,0.36474,0.21324,0.09656,0.03627
Germany,0.63269,0.34481,0.1468,0.0707,0.02704
Uruguay,0.7199,0.29685,0.14472,0.06842,0.02465
England,0.6794,0.3522,0.15041,0.05863,0.01922
Croatia,0.57542,0.26057,0.09751,0.04226,0.01424
Switzerland,0.51519,0.23197,0.10285,0.04672,0.01278
Serbia,0.46884,0.20344,0.08553,0.03606,0.00993
Mexico,0.51027,0.20116,0.09091,0.03092,0.00735
Ecuador,0.47431,0.22982,0.07935,0.02466,0.00613
United States,0.49088,0.20318,0.06722,0.02042,0.00475
Iran,0.49421,0.20534,0.06567,0.0197,0.00461
Qatar,0.41555,0.18818,0.06087,0.01755,0.00392
Canada,0.37408,0.13217,0.03792,0.01283,0.0034
Japan,0.31123,0.12084,0.03696,0.01317,0.00334
Poland,0.3789,0.12793,0.05165,0.0145,0.0029
South Korea,0.39656,0.10338,0.03558,0.01149,0.00279
Costa Rica,0.25733,0.09075,0.02512,0.0083,0.00169
Morocco,0.27921,0.0847,0.02039,0.00564,0.00133
Wales,0.33551,0.11282,0.02797,0.00623,0.00109
Australia,0.25856,0.06419,0.02168,0.0049,0.00109
Senegal,0.25411,0.09351,0.02432,0.0056,0.00101
Tunisia,0.22919,0.05228,0.01692,0.00366,0.00056
Saudi Arabia,0.15566,0.03416,0.00943,0.00169,0.00013
Cameroon,0.07036,0.01212,0.00208,0.00032,1e-05
Ghana,0.07042,0.00613,0.00088,6e-05,0.0
