team,QF,SF,Final,Champion
Argentina,0.90148,0.59286,0.36924,0.22989
Brazil,0.88515,0.58794,0.38178,0.20132
Colombia,0.78679,0.46594,0.27113,0.13202
Uruguay,0.89844,0.45726,0.22588,0.12007
Chile,0.80874,0.44728,0.20609,0.10832
Mexico,0.86394,0.40304,0.18107,0.0887
Ecuador,0.67547,0.3293,0.13332,0.04953
United States,0.54957,0.24374,0.10028,0.03531
Costa Rica,0.40628,0.15304,0.05254,0.01585
Peru,0.37855,0.13514,0.03982,0.01021
Paraguay,0.25736,0.07627,0.02013,0.0045
Panama,0.22411,0.06124,0.01323,0.00359
Jamaica,0.1247,0.01522,0.00183,0.00028
Venezuela,0.11292,0.01343,0.00158,0.00023
Bolivia,0.06567,0.00967,0.00108,0.00014
Haiti,0.06083,0.00863,0.001,4e-05
