team,R16,QF,SF,Final,Champion
France,0.98769,0.77628,0.61384,0.41381,0.28321
Germany,0.97691,0.78391,0.54591,0.33391,0.2106
Spain,0.92732,0.65565,0.42657,0.2633,0.14104
England,0.95517,0.67307,0.40494,0.22944,0.11196
Portugal,0.92797,0.54171,0.26818,0.12993,0.05315
Belgium,0.85482,0.48703,0.25353,0.12097,0.05215
Italy,0.78758,0.40432,0.19365,0.08358,0.03264
Ukraine,0.76758,0.39739,0.17495,0.07007,0.02152
Croatia,0.65935,0.28693,0.12397,0.04579,0.01506
Turkey,0.64423,0.27561,0.1171,0.04204,0.01303
Poland,0.67227,0.29941,0.11763,0.04061,0.01022
Austria,0.73925,0.30092,0.09384,0.03034,0.00837
Switzerland,0.66041,0.25718,0.09634,0.03163,0.00802
Slovakia,0.67806,0.29091,0.09101,0.02839,0.00736
Republic of Ireland,0.57072,0.21446,0.08226,0.02631,0.0072
Russia,0.66737,0.27987,0.08526,0.02514,0.00611
Romania,0.62282,0.22919,0.08417,0.02606,0.00599
Sweden,0.5073,0.17702,0.06169,0.01881,0.0046
Czech Republic,0.46206,0.15333,0.05191,0.01594,0.00392
Hungary,0.54782,0.1631,0.03884,0.0091,0.00176
Iceland,0.47427,0.12757,0.02614,0.00571,0.00082
Wales,0.36609,0.09903,0.02,0.00368,0.00058
Albania,0.31231,0.0722,0.0169,0.0035,0.00051
Northern Ireland,0.23063,0.05391,0.01137,0.00194,0.00018
