team,R16,QF,SF,Final,Champion
Brazil,0.93713,0.71917,0.56238,0.41273,0.28373
Germany,0.90495,0.60685,0.43656,0.28092,0.16141
Spain,0.80149,0.62383,0.395,0.21899,0.1194
Argentina,0.85444,0.51535,0.29808,0.15011,0.07409
Portugal,0.67914,0.47995,0.26521,0.12363,0.05556
France,0.71526,0.4404,0.24896,0.11639,0.05481
Peru,0.67001,0.39403,0.21158,0.09369,0.04098
Belgium,0.75721,0.4606,0.18231,0.09006,0.03804
England,0.76296,0.46635,0.1859,0.09087,0.03693
Colombia,0.76168,0.43581,0.18231,0.08795,0.0358
Uruguay,0.80486,0.34461,0.161,0.05757,0.02089
Switzerland,0.52393,0.20968,0.10359,0.04278,0.0138
Mexico,0.55054,0.18788,0.0901,0.0372,0.01255
Croatia,0.5829,0.24077,0.09913,0.03154,0.0104
Iran,0.32263,0.1732,0.06801,0.02148,0.00616
Denmark,0.35961,0.15443,0.06011,0.01941,0.00599
Poland,0.50079,0.20913,0.05796,0.02055,0.00594
Senegal,0.45086,0.17806,0.04717,0.01523,0.00388
Russia,0.58877,0.17483,0.05863,0.01564,0.00369
Costa Rica,0.31044,0.0949,0.03832,0.01161,0.00278
Australia,0.25512,0.09297,0.03085,0.00817,0.00231
Iceland,0.36966,0.11885,0.0393,0.0096,0.0022
Sweden,0.31539,0.07684,0.02818,0.00904,0.00219
Morocco,0.19674,0.09095,0.02892,0.00711,0.00155
Serbia,0.2285,0.05908,0.02056,0.00585,0.00119
Japan,0.28667,0.08905,0.01758,0.00446,0.00079
South Korea,0.22912,0.0456,0.01509,0.00387,0.00074
Tunisia,0.23514,0.07784,0.01537,0.00363,0.00068
Panama,0.24469,0.08316,0.01662,0.0038,0.00065
Egypt,0.3594,0.07341,0.0174,0.0032,0.00049
Nigeria,0.193,0.0432,0.01027,0.00176,0.00025
Saudi Arabia,0.24697,0.03922,0.00755,0.00116,0.00013
