team,elo
Spain,2219.041020656079
Argentina,2188.3860600370176
France,2125.077024795984
England,2086.2870920635482
Brazil,2068.775360442682
Colombia,2063.7781858037984
Portugal,2042.456186812006
Ecuador,2027.1284103145035
Netherlands,2010.698822932572
Germany,2004.5924985399058
Japan,1993.3378640316205
Morocco,1984.885426619589
Mexico,1976.3092939661587
Uruguay,1974.8374493544843
Norway,1971.639049919062
Croatia,1969.5292937992083
Turkey,1969.2211163598906
Belgium,1956.6170295937052
Switzerland,1955.8518800912375
Italy,1928.69632339968
Denmark,1928.567936025928
Senegal,1919.340240489223
Paraguay,1918.4719568230448
Australia,1901.5449174764994
Iran,1896.8292936029668
Canada,1894.7933647429197
Austria,1890.000473112774
Nigeria,1885.355451627192
South Korea,1880.681741144349
Yugoslavia,1872.9998028477994
Algeria,1872.394009255235
Panama,1847.881110827115
Scotland,1844.0814318408777
Ukraine,1841.600899382153
Russia,1836.8850590044924
United States,1825.0782699556355
Uzbekistan,1820.222012144434
Ivory Coast,1814.782071215781
Egypt,1810.078182139701
Venezuela,1809.9451544457693
Jersey,1805.3277176291526
Czechoslovakia,1804.6963678722548
Greece,1803.0111309562212
Czech Republic,1801.660336795752
Serbia,1801.624408615273
Basque Country,1799.3226997536044
Chile,1794.530794059026
Jordan,1775.0711762873543
DR Congo,1772.2186939089593
Kosovo,1771.5784981755269
Poland,1771.1930009330022
Peru,1771.089949092694
Sweden,1770.5513394171794
Hungary,1764.2149363605502
Republic of Ireland,1760.6784529866848
Iraq,1750.3433662594339
Costa Rica,1747.5546611747834
Guernsey,1745.6435893687421
Wales,1742.9057558641098
Slovenia,1738.2661052017995
Tunisia,1737.5882924481384
German DR,1731.9743579783576
New Zealand,1731.1562814609622
Bolivia,1727.6096769702344
Slovakia,1724.9261910672662
Cameroon,1723.963499898683
Georgia,1710.5512640362347
Isle of Man,1709.1391481336432
Mali,1707.9654106396301
Israel,1700.7676122758476
Romania,1700.360714042312
Honduras,1699.632983248919
Haiti,1696.932649839605
Northern Cyprus,1689.439101339614
Occitania,1686.7960239115014
Padania,1686.2486302948719
Saudi Arabia,1685.9152186720185
Albania,1673.622467387478
United Arab Emirates,1665.2707801840718
Northern Ireland,1662.328006047191
South Africa,1662.170128014196
Isle of Wight,1660.2560455134733
Catalonia,1655.1960313957532
Cape Verde,1653.0473470927113
Jamaica,1651.703288559109
Bosnia and Herzegovina,1651.5602934756182
Burkina Faso,1650.5443333337341
North Macedonia,1649.329600256807
Iraqi Kurdistan,1645.288055923175
Guatemala,1640.757117129116
Ynys Môn,1639.705438709131
Iceland,1630.0210913717651
Abkhazia,1628.1674054706607
Ghana,1624.4472653623402
Kárpátalja,1606.7555430250989
Curaçao,1601.185370009583
Finland,1599.6118506093558
Syria,1598.8953786670147
Kernow,1595.6360985602885
Andalusia,1592.558604729543
Rhodes,1591.745512377994
County of Nice,1591.0145672718138
New Caledonia,1589.9912416382417
Palestine,1589.1712656504333
Tamil Eelam,1586.8341539694716
Belarus,1585.73935705644
Panjab,1585.6829075701303
Suriname,1582.9517046378544
Réunion,1581.271007049995
Angola,1580.5806164281248
Guinea,1577.6709320719417
Oman,1573.7272504410303
Ellan Vannin,1569.8116582770133
Kurdistan,1567.2529180041993
Menorca,1566.1242134966603
Qatar,1565.8975717411067
Artsakh,1557.3075275461654
Benin,1556.7091610539158
China,1555.9376290731998
Corsica,1555.827029318808
Chameria,1553.9099835039492
Yorkshire,1553.3015608464832
Zambia,1550.119638880058
Arameans Suryoye,1546.3357457019001
Quebec,1546.1628446573718
Cascadia,1545.3325082406325
Bahrain,1541.1052461400507
Gambia,1538.8452828861189
Bulgaria,1535.4096016942513
