date,group,home_team,away_team,p_home,p_draw,p_away,xg_home,xg_away,top_score,p_top_score
2026-06-11,A,Mexico,South Africa,0.822,0.1252,0.0527,2.77,0.6,2-0,0.1327
2026-06-11,A,South Korea,Czech Republic,0.453,0.27,0.277,1.49,1.11,1-1,0.1287
2026-06-12,B,Canada,Bosnia and Herzegovina,0.7566,0.162,0.0814,2.43,0.68,2-0,0.1319
2026-06-12,D,United States,Paraguay,0.3687,0.2775,0.3539,1.3,1.27,1-1,0.1322
2026-06-13,B,Qatar,Switzerland,0.0615,0.1376,0.8009,0.62,2.65,0-2,0.1333
2026-06-13,C,Brazil,Morocco,0.4589,0.269,0.2721,1.5,1.1,1-1,0.1282
2026-06-13,C,Haiti,Scotland,0.2129,0.2521,0.535,0.98,1.69,1-1,0.1201
2026-06-13,D,Australia,Turkey,0.2885,0.272,0.4396,1.13,1.45,1-1,0.1296
2026-06-14,E,Germany,Curaçao,0.8128,0.1307,0.0565,2.71,0.61,2-0,0.1331
2026-06-14,E,Ivory Coast,Ecuador,0.1603,0.2268,0.6129,0.87,1.9,0-1,0.1147
2026-06-14,F,Netherlands,Japan,0.3809,0.2771,0.342,1.33,1.24,1-1,0.1321
2026-06-14,F,Sweden,Tunisia,0.3988,0.2762,0.325,1.36,1.21,1-1,0.1316
2026-06-15,G,Belgium,Egypt,0.5343,0.2523,0.2135,1.68,0.98,1-1,0.1202
2026-06-15,G,Iran,New Zealand,0.5573,0.2456,0.1971,1.74,0.94,1-1,0.1171
2026-06-15,H,Spain,Cape Verde,0.9239,0.0589,0.0172,3.67,0.45,3-0,0.134
2026-06-15,H,Saudi Arabia,Uruguay,0.1099,0.1902,0.6999,0.75,2.19,0-2,0.1266
2026-06-16,I,France,Senegal,0.6051,0.2297,0.1652,1.88,0.88,1-0,0.1147
2026-06-16,I,Iraq,Norway,0.1537,0.2229,0.6234,0.85,1.93,0-2,0.1154
2026-06-16,J,Argentina,Algeria,0.7288,0.1763,0.0949,2.31,0.71,2-0,0.1298
2026-06-16,J,Austria,Jordan,0.4961,0.2617,0.2421,1.59,1.04,1-1,0.1247
2026-06-17,K,Portugal,DR Congo,0.6793,0.1996,0.121,2.12,0.78,2-0,0.124
2026-06-17,K,Uzbekistan,Colombia,0.1382,0.2126,0.6492,0.82,2.02,0-2,0.1196
2026-06-17,L,England,Croatia,0.4983,0.2612,0.2404,1.59,1.03,1-1,0.1245
2026-06-17,L,Ghana,Panama,0.1522,0.2219,0.6259,0.85,1.94,0-2,0.1159
2026-06-18,A,Czech Republic,South Africa,0.5258,0.2545,0.2197,1.66,0.99,1-1,0.1213
2026-06-18,A,Mexico,South Korea,0.5931,0.2339,0.1729,1.84,0.89,1-0,0.1145
2026-06-18,B,Switzerland,Bosnia and Herzegovina,0.7164,0.1823,0.1012,2.26,0.73,2-0,0.1285
2026-06-18,B,Canada,Qatar,0.8343,0.1179,0.0479,2.84,0.58,2-0,0.1319
2026-06-19,C,Scotland,Morocco,0.2185,0.2541,0.5274,0.99,1.67,1-1,0.1211
2026-06-19,C,Brazil,Haiti,0.7842,0.147,0.0688,2.56,0.64,2-0,0.1331
2026-06-19,D,United States,Australia,0.388,0.2768,0.3352,1.34,1.23,1-1,0.1319
2026-06-19,D,Turkey,Paraguay,0.4196,0.2744,0.306,1.41,1.17,1-1,0.1308
2026-06-20,E,Germany,Ivory Coast,0.5862,0.2363,0.1775,1.82,0.9,1-0,0.1144
2026-06-20,E,Ecuador,Curaçao,0.8319,0.1193,0.0488,2.83,0.58,2-0,0.1321
2026-06-20,F,Netherlands,Sweden,0.6453,0.2142,0.1405,2.0,0.82,2-0,0.119
2026-06-20,F,Tunisia,Japan,0.1302,0.2068,0.6631,0.8,2.06,0-2,0.1217
2026-06-21,G,Belgium,Iran,0.4302,0.2732,0.2966,1.43,1.15,1-1,0.1302
2026-06-21,G,New Zealand,Egypt,0.2771,0.27,0.4529,1.11,1.49,1-1,0.1287
2026-06-21,H,Spain,Saudi Arabia,0.9064,0.0711,0.0224,3.45,0.48,3-0,0.1348
2026-06-21,H,Uruguay,Cape Verde,0.7348,0.1733,0.0919,2.33,0.71,2-0,0.1303
2026-06-22,I,France,Iraq,0.7869,0.1455,0.0676,2.57,0.64,2-0,0.1332
2026-06-22,I,Norway,Senegal,0.4214,0.2742,0.3044,1.41,1.16,1-1,0.1307
2026-06-22,J,Argentina,Austria,0.7101,0.1854,0.1045,2.23,0.74,2-0,0.1278
2026-06-22,J,Jordan,Algeria,0.2589,0.2661,0.4749,1.07,1.54,1-1,0.1268
2026-06-23,K,Portugal,Uzbekistan,0.6245,0.2224,0.1531,1.94,0.85,2-0,0.1156
2026-06-23,K,Colombia,DR Congo,0.7028,0.1889,0.1083,2.2,0.75,2-0,0.127
2026-06-23,L,England,Ghana,0.8598,0.102,0.0382,3.02,0.54,3-0,0.1299
2026-06-23,L,Panama,Croatia,0.2359,0.2599,0.5042,1.02,1.61,1-1,0.1239
2026-06-24,A,Mexico,Czech Republic,0.6842,0.1974,0.1183,2.14,0.77,2-0,0.1247
2026-06-24,A,South Africa,South Korea,0.1558,0.2241,0.6201,0.86,1.92,0-2,0.1149
2026-06-24,B,Canada,Switzerland,0.4058,0.2757,0.3186,1.38,1.19,1-1,0.1314
2026-06-24,B,Bosnia and Herzegovina,Qatar,0.461,0.2686,0.2704,1.5,1.09,1-1,0.128
2026-06-24,C,Scotland,Brazil,0.1513,0.2213,0.6274,0.85,1.95,0-2,0.1161
2026-06-24,C,Morocco,Haiti,0.6989,0.1907,0.1104,2.19,0.75,2-0,0.1265
2026-06-25,D,United States,Turkey,0.313,0.2751,0.4118,1.18,1.39,1-1,0.1311
2026-06-25,D,Paraguay,Australia,0.3804,0.2772,0.3424,1.32,1.24,1-1,0.1321
2026-06-25,E,Curaçao,Ivory Coast,0.1594,0.2263,0.6144,0.86,1.91,0-1,0.1147
2026-06-25,E,Ecuador,Germany,0.3868,0.2769,0.3363,1.34,1.23,1-1,0.132
2026-06-25,F,Japan,Sweden,0.6251,0.2222,0.1527,1.94,0.85,2-0,0.1157
2026-06-25,F,Tunisia,Netherlands,0.1193,0.1982,0.6825,0.77,2.13,0-2,0.1244
2026-06-26,G,Egypt,Iran,0.2693,0.2684,0.4623,1.09,1.51,1-1,0.1279
2026-06-26,G,New Zealand,Belgium,0.1508,0.221,0.6283,0.84,1.95,0-2,0.1162
2026-06-26,H,Cape Verde,Saudi Arabia,0.3251,0.2762,0.3987,1.21,1.36,1-1,0.1316
2026-06-26,H,Uruguay,Spain,0.1378,0.2123,0.6499,0.82,2.02,0-2,0.1197
2026-06-26,I,Norway,France,0.2075,0.2499,0.5426,0.97,1.71,1-1,0.1191
2026-06-26,I,Senegal,Iraq,0.5613,0.2444,0.1943,1.76,0.94,1-1,0.1165
2026-06-27,J,Algeria,Austria,0.3417,0.2771,0.3812,1.24,1.33,1-1,0.1321
2026-06-27,J,Jordan,Argentina,0.053,0.1257,0.8213,0.6,2.76,0-2,0.1327
2026-06-27,K,Colombia,Portugal,0.3854,0.277,0.3376,1.33,1.23,1-1,0.132
2026-06-27,K,DR Congo,Uzbekistan,0.3089,0.2747,0.4164,1.17,1.4,1-1,0.1309
2026-06-27,L,Panama,England,0.1417,0.215,0.6433,0.82,2.0,0-2,0.1187
2026-06-27,L,Croatia,Ghana,0.7584,0.161,0.0806,2.43,0.68,2-0,0.1321
