team,R32,R16,QF,SF,Final,Champion
Spain,0.99774,0.79008,0.60455,0.48962,0.36279,0.25091
Argentina,0.98534,0.70077,0.5613,0.4188,0.29247,0.18141
France,0.95958,0.71291,0.48777,0.32538,0.17869,0.10163
England,0.97371,0.67086,0.38284,0.22991,0.12479,0.06231
Brazil,0.95316,0.60439,0.37909,0.22015,0.10751,0.05165
Colombia,0.92807,0.60573,0.33743,0.17996,0.09895,0.04644
Portugal,0.9128,0.57086,0.29734,0.15459,0.08062,0.03597
Ecuador,0.95704,0.62441,0.32482,0.17932,0.07749,0.03322
Mexico,0.97545,0.6833,0.3841,0.17357,0.06628,0.02505
Netherlands,0.92238,0.49793,0.29229,0.14283,0.05988,0.02458
Germany,0.94368,0.5792,0.28694,0.1476,0.06122,0.02442
Japan,0.9087,0.46821,0.26601,0.12545,0.04915,0.01865
Morocco,0.88263,0.45722,0.24826,0.11595,0.04309,0.01617
Uruguay,0.91794,0.35841,0.19262,0.09554,0.04238,0.01488
Switzerland,0.9585,0.58794,0.26849,0.10427,0.03896,0.01367
Norway,0.79654,0.43048,0.21461,0.09776,0.03721,0.01342
Croatia,0.89709,0.4596,0.18618,0.08612,0.03585,0.01324
Turkey,0.77548,0.46128,0.22041,0.08645,0.03713,0.01314
Belgium,0.88848,0.51125,0.23905,0.08366,0.03544,0.0125
Canada,0.97479,0.59036,0.26612,0.08217,0.02649,0.00737
United States,0.68647,0.36398,0.14943,0.05254,0.01903,0.00596
Paraguay,0.67084,0.34744,0.14001,0.04817,0.01764,0.00558
Senegal,0.693,0.32806,0.14241,0.05246,0.01773,0.00544
Iran,0.80475,0.38868,0.14544,0.04346,0.01568,0.00443
Australia,0.6304,0.31119,0.11971,0.03817,0.01316,0.00379
South Korea,0.79535,0.3858,0.14252,0.04627,0.01305,0.00377
Austria,0.65939,0.19612,0.08234,0.0276,0.01005,0.00267
Algeria,0.61787,0.17936,0.07085,0.0212,0.00705,0.00179
Scotland,0.62317,0.20031,0.07458,0.02238,0.00534,0.00121
Panama,0.68924,0.23106,0.06736,0.01928,0.00546,0.00117
Ivory Coast,0.6632,0.22076,0.0667,0.01679,0.00396,0.00081
Egypt,0.6257,0.22419,0.06128,0.01361,0.00343,0.00076
Czech Republic,0.62915,0.23344,0.0677,0.01579,0.00335,0.00067
Uzbekistan,0.48045,0.14828,0.03841,0.0108,0.00275,0.00052
Sweden,0.46879,0.11749,0.03327,0.00663,0.0015,0.00024
Jordan,0.36109,0.07689,0.02295,0.00448,0.00106,0.00017
DR Congo,0.35241,0.08973,0.01953,0.00478,0.00095,0.0001
Tunisia,0.38141,0.08367,0.02022,0.00368,0.00057,8e-05
New Zealand,0.41712,0.10836,0.02072,0.00322,0.00045,7e-05
Iraq,0.2556,0.06845,0.01775,0.00328,0.00057,6e-05
Saudi Arabia,0.3112,0.05042,0.01057,0.00113,0.00019,4e-05
Haiti,0.23866,0.04249,0.00966,0.00158,0.00026,2e-05
South Africa,0.26624,0.05867,0.00959,0.00109,8e-05,1e-05
Ghana,0.14415,0.01695,0.0022,0.00012,2e-05,1e-05
Bosnia and Herzegovina,0.42561,0.08326,0.0133,0.00123,0.00011,0.0
Qatar,0.21834,0.02755,0.00272,0.0002,3e-05,0.0
Cape Verde,0.24033,0.03404,0.00644,0.00076,0.00012,0.0
Curaçao,0.14097,0.01817,0.00212,0.0002,2e-05,0.0
